| Μάθημα                                                                         | Κωδικός | Περιγραφή                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     | Διδάσκοντες                                                                                           | Εξάμηνο | Περίοδος  | ECTS | ΔΜ | Ώρες | Κατεύθυνση                                                         | Τύπος μαθήματος                                                                              | Κατηγορία                                                  | Ομάδα          | Γονέας | Ενέργειες |
| ΣΧΕΔΙΑΣΗ ΑΝΑΛΟΓΙΚΩΝ ΗΛΕΚΤΡΟΝΙΚΩΝ ΣΥΣΤΗΜΑΤΩΝ                                    | 3310    | Ανάλυση και σχεδίαση αρχιτεκτονικών και κυκλωμάτων κλειδωμένου βρόχου φάσης (PLL) για τηλεπικοινωνιακά συστήματα. Έμφαση δίνεται στη θεμελιώδη κατανόηση, σχεδίασης και εφαρμογή των PLL σε σύγχρονα κυκλώματα (κυκλώματα θετικής και αρνητικής ανάδρασης, υστέρηση, VCO, διαιρέτες συχνότητας, ανιχνευτές φάσης/συχνότητας, αντλίες φορτίου και φίλτρα βρόχου). Τα θέματα περιλαμβάνουν το κλείδωμα φάσης, την παρακολούθηση κλειδώματος, την ταχύτητα, το εύρος ζώνης και τις ιδιότητες θορύβου των PLL. Επιπλέον, τεχνικές μέτρησης όπως η συχνοτική συμπεριφορά στοιχείων και κυκλωμάτων, η ανάλυση φάσματος και ο θόρυβος φάσης μελετώνται κατά τη διάρκεια του μαθήματος. Οι εφαρμογές επικεντρώνονται στον πολλαπλασιασμό συχνότητας, στη σύνθεση RF συχνοτήτων καθώς και στην ανάκτηση ρολογιού και δεδομένων. Σκοπός του εργαστηρίου είναι η ανάλυση, σχεδίαση και υλοποίηση συστήματος PLL, βάση προδιαγραφών, με διακριτά στοιχεία ή σε μορφή ολοκληρωμένου κυκλώματος.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            | Γ. Παναγόπουλος, Ι. Παναγοδήμος (Ε.ΔΙ.Π.)                                                             | Όγδοο   | Εαρινή    | 6    | 0  | 4    | -                                                                  | Ελεύθερης επιλογής, Υποχρεωτικό κατεύθυνσης                                                  | Ελεύθερα, Υποχρ. Ομάδας                                    | Η, ΗΜ          | -      |           |
| ΔΙΚΤΥΑ ΚΙΝΗΤΩΝ & ΠΡΟΣΩΠΙΚΩΝ ΕΠΙΚΟΙΝΩΝΙΩΝ                                       | 3312    | Κινητές και προσωπικές επικοινωνίες, Ασύρματα συστήματα κινητών και προσωπικών επικοινωνιών. Θέματα σχεδίασης, επίδραση της κινητικότητας στα τηλεπικοινωνιακά δίκτυα. Συστήματα κινητών επικοινωνιών 3ης και 4ης γενιάς. Το ασύρματο περιβάλλον στις κινητές επικοινωνίες, απώλειες διαδρομής, διαλείψεις, παράμετροι ραδιοδιαύλων. Βασικές αρχές των κυψελωτών συστημάτων, κυψελωτή δομή, επαναχρησιμοποίηση συχνοτήτων, τηλεπικοινωνιακή κίνηση, φασματική απόδοση. Παρεμβολές στο ασύρματο περιβάλλον, βελτίωση της χωρητικότητας στα κυψελωτά συστήματα. Τεχνικές διάθεσης ασυρμάτων πόρων σε κυψελωτά δίκτυα, κατανομή διαύλων, αλγόριθμοι δανεισμού διαύλων, τεχνικές πολλαπλής πρόσβασης. Αρχιτεκτονική των κυψελωτών συστημάτων, υποστήριξη της κινητικότητας των χρηστών, κυψελωτή δικτύωση. Τεχνικές μετάδοσης στα δίκτυα κινητών επικοινωνιών. Διαχείριση ραδιοδιαύλων, λειτουργίες και διαδικασίες διαχείρισης ραδιοδιαύλων, διαδικασία της διαπομπής. Διαχείριση κινητικότητας και εντοπισμού, διαδικασία ενημέρωσης θέσης, μοντέλα κινητικότητας. Διαχείριση ασφάλειας. Διαχείριση επικοινωνίας, λειτουργίες, έλεγχος και εγκατάσταση κλήσης, διαδικασία εντοπισμού δεδομένων, αναζήτηση. Μετάδοση μηνυμάτων στα δίκτυα κινητών επικοινωνιών. Υπηρεσίες θέσης και μέθοδοι προσδιορισμού της θέσης κινητού τερματικού.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          | Ε. Βαρβαρίγος                                                                                 101     | Όγδοο   | Εαρινή    | 4    | 0  | 3    | -                                                                  | Ελεύθερης επιλογής, Επιλογής κατεύθυνσης                                                     | Ελεύθερα, Επιλογή                                          | Δ, ΔΜ          | -      |           |
| ΑΝΑΛΥΣΗ ΣΗΕ (ΑΣΥΜΜΕΤΡΕΣ & ΜΕΤΑΒΑΤΙΚΕΣ ΚΑΤΑΣΤΑΣΕΙΣ)                             | 3313    | Μεταβατικά μοντέλα σύγχρονης γεννήτριας. Μεταβατικά μοντέλα ασύγχρονων κινητήρων. Μεταβατικές και υπομεταβατικές αντιδράσεις και χρονικές σταθερές. Ρεύμα βραχυκυκλώματος και ισχύς βραχυκυκλώσεως. Βραχυκύκλωμα γεννήτριας υπό φορτίο. Βραχυκύκλωμα γεννήτριας συνδεδεμένης με ηλεκτρονικά ισχύος. Αναλυτικές και ψηφιακές τριφασικές μελέτες βραχυκυκλωμάτων. Ισοδύναμη αντίσταση συστήματος. Ασύμμετρα τριφασικά συστήματα. Συμμετρικές συνιστώσες και κυκλώματα ακολουθίας. Αντιστάσεις ακολουθίας γεννητριών και μετασχηματιστών. Ασύμμετρα σφάλματα. Πολλαπλά σφάλματα δικτύου. Επίδραση γειώσεων. Ασύμμετρη φόρτιση μετασχηματιστών. Ανάλυση σύνθετων αντιστάσεων γραμμών. Ασυμμετρίες τριφασικών γραμμών μεταφοράς. Συνιστώσες Clarke.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                | Ά.-Ε. Δημέας , Β. Νικολαΐδης , Ν. Χατζηαργυρίου                                                       | Όγδοο   | Εαρινή    | 6    | 0  | 4    | -                                                                  | Ελεύθερης επιλογής, Επιλογής κατεύθυνσης, Υποχρεωτικό κατεύθυνσης                            | Ελεύθερα, Επιλογή, Υποχρ. Ομάδας                           | Ε, ΕΜ          | -      |           |
| ΚΕΝΤΡΑ ΕΛΕΓΧΟΥ ΕΝΕΡΓΕΙΑΣ                                                       | 3314    | Περιγραφή και λειτουργίες κέντρων ελέγχου ενέργειας. Κατανεμημένη και παράλληλη λειτουργία κέντρων ελέγχου ενέργειας. Εκτίμηση κατάστασης ηλεκτρικών δικτύων μεταφοράς και διανομής με χρήση μετρήσεων από SCADA/RTUs και έξυπνους μετρητές (smart meters). Ανίχνευση σφαλμάτων παραμέτρων και τοπολογίας συστημάτων ηλεκτρικής ενέργειας. Εφαρμογές μονάδων συγχρονισμένων μετρήσεων φασιθετών (synchronized phasor measurement units - PMU) στα κέντρα ελέγχου ενέργειας και την εκτίμηση κατάστασης. Ισοδύναμα δίκτυα. Ανάλυση ασφάλειας και ευαισθησίας. Τεχνικές αραιών μητρών. Εφαρμογές τεχνικών τεχνητής νοημοσύνης στην ανάλυση και τον έλεγχο των συστημάτων ηλεκτρικής ενέργειας. Εφαρμογές σε Η/Υ με τεχνικές αραιών μητρών.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      | Γ. Κορρές                                                                                             | Όγδοο   | Εαρινή    | 4    | 0  | 4    | -                                                                  | Ελεύθερης επιλογής, Επιλογής κατεύθυνσης                                                     | Ελεύθερα, Επιλογή                                          | Ε, ΕΜ          | -      |           |
| ΕΦΑΡΜΟΓΕΣ ΤΗΣ ΛΟΓΙΚΗΣ ΣΤΗΝ ΠΛΗΡΟΦΟΡΙΚΗ                                         | 3317    | Απόδειξη θεωρημάτων. Πρωτοβάθμιος κατηγορηματικός λογισμός, μοντέλα, μοντέλα Herbrand, clauses, κανονική μορφή, prenex, κανονική μορφή Skolen, resolution, ορθότητα και πληρότητα του resolution του Rob- inson. Θεωρία Λογικού προγραμματισμού, Hornclauses, μέθοδοι έρευνας, η άρνηση ως αποτυχία και η σημασιολογία της, μη-μονότονη συλλογιστική, μοντέλα τριών τιμών αλήθειας. Συναρτησιακός προγραμματισμός, χωρίς τύπους, με τύπους οι αποδείξεις ως προγράμματα, ισομορφισμός του Curry-Howard, δευτεροβάθμια λογικά συστήματα, συστήματα πολυφορμισμού. Σημασιολογία προγραμματιστικών γλωσσών, θεωρία του σταθερού σημείου.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         | Γ. Κολέτσος, Π. Στεφανέας, Π. Ποτίκας (Ε.ΔΙ.Π.)                                                       | Όγδοο   | Εαρινή    | 4    | 0  | 4    | -                                                                  | Ελεύθερης επιλογής                                                                           | Ελεύθερα                                                   | -              | -      |           |
| ΝΕΥΡΩΝΙΚΑ ΔΙΚΤΥΑ ΚΑΙ ΒΑΘΙΑ ΜΑΘΗΣΗ                                              | 3319    | Εισαγωγή. Ανασκόπηση βασικών εννοιών μηχανικής μάθησης και υπολογιστικής νοημοσύνης. Μοντέλα και αρχιτεκτονικές νευρωνικών δικτύων, δυναμική συμπεριφορά, σύγκλιση και ευστάθεια, αλγόριθμοι μάθησης, υπολογιστικές δυνατότητες. Ανασκόπηση Θεωρίας Μάθησης, bias/complexity tradeoff, Πιθανώς Προσεγγιστικά Ορθή μάθηση (Probably Approximately Correct – PAC learning). Μη ομοιόμορφη μαθησιμότητα (non-uniform learnability), Πολυπλοκότητες Rademacher, συνάρτηση ανάπτυξης (growth function), διάσταση Vapnik – Chervonenkis (VC). No Free Lunch Theorem. Perceptron, πολυστρωματικό perceptron (MultiLayer Perceptron-MLP)). Βαθιά μάθηση. Βαθιά νευρωνικά δίκτυα πρόσθιας τροφοδότησης (deep feedforward neural networks). Εκπαίδευση νευρωνικών δικτύων. Συναρτήσεις κόστους (loss functions), συναρτήσεις ενεργοποίησης (acti- vation functions), στοχαστική κάθοδος κλίσης (Stochastic Gradient Descent), βελτιστοποίηση (optimization). Υπερπροσαρμογή / υποπροσαρμογή (overfitting / underfitting), ομαλοποίηση (regularization). Επαύξηση δεδομένων (data augmentation), κανονικοποίηση παρτίδας (batch normalization). Αρχικοποίηση βαρών, προεπεξεργασία δεδομένων. Επιλογή μοντέλου, ρύθμιση υπερπαραμέτρων (hyperparameter tuning). Επικύρωση μοντέλου (model validation). Συλλογική μάθηση (ensemble learning). Συνελικτικά Νευρωνικά Δίκτυα (Convolutional Neural Networks) και παραλλαγές. Ακολουθιακά μοντέλα (sequence models). Επαναληπτικά νευρωνικά δίκτυα (Recurrent Neural Networks – RNN) και παραλλαγές (Gated Recurrent Unit – GRU, Long Short-Term Memory – LSTM, bidirectional LSTM). Μηχανισμός προσοχής (attention), self-attention, multi-head attention. Μετασχηματιστές (transformers), μετασχηματιστές όρασης (vision transformers). Ανταγωνιστική μάθηση (competitive learning), χάρτες Kohonen. Συσχετιστικά (associative) δίκτυα, δίκτυα Hopfield. Παραγωγικά μοντέλα (generative models). Περιορισμένες μηχανές Boltzman (Restricted Boltzman Machines), βαθιές μηχανές Boltzman (Deep Boltzman Machines), βαθιά δίκτυα πεποίθησης (Deep Belief Networks). Αυτοκωδικοποιητές (autoencoders), αυτοκωδικοποιητές αποθορυβοποίησης (denoising autoencoders). Αυτοκωδικοποιητές διακυμάνσεων (Variational Autoencoders – VAE). Παραγωγικά ανταγωνιστικά δίκτυα (Gener- ative Adversarial Networks – GAN). Μοντέλα διάχυσης (diffusion models). Αυτοεπιβλεπόμενη μάθηση (self-supervised learning), αντικρουόμενη μάθηση (contrastive learning). Ημιεπιβλεπόμενη μάθηση (Semi-supervised learning). Μάθηση με μεταφορά (transfer learning), προσαρμογή πεδίου (domain adaptation), multi-task learning, few-shot learning, zero-shot learning. Ανασκόπηση βασικών εννοιών ενισχυτικής μάθησης (reinforcement learning). Βαθιά ενισχυτική μάθηση, βαθιά δίκτυα-Q (Deep Q-Networks – DQN), double DQN, dueling DQN, noisy DQN και άλλα μοντέλα. Νευρωνικά Δίκτυα Γράφων (Graph Neural Networks). Ενσωματώσεις κόμβων/γράφων (node/graph embed- dings), εκπαίδευση νευρωνικών δικτύων γράφων, συνελικτικά δίκτυα γράφων (Graph Convolutional Networks), δίκτυα γράφων με μηχανισμό προσοχής (Graph Attention Networks). Επεξηγησιμότητα μοντέλων βαθιάς μάθησης. Εφαρμογές νευρωνικών δικτύων και βαθιάς μάθησης. Αναλυτικές ασκήσεις και εργαστηριακή εξάσκηση στα παραπάνω αντικείμενα (Python και σχετικές βιβλιοθήκες). | Α. Βουλόδημος, Γ. Στάμου, Π. Τζούβελη (Ε.ΔΙ.Π.)                                                       | Όγδοο   | Εαρινή    | 4    | 0  | 4    | -                                                                  | Ελεύθερης επιλογής, Επιλογής κατεύθυνσης                                                     | Ελεύθερα, Επιλογή                                          | Υ, ΥΜ          | -      |           |
| ΨΗΦΙΑΚΑ ΣΥΣΤΗΜΑΤΑ VLSI                                                         | 3328    | Μεθοδολογίες Σχεδίασης και Εργαλεία. Χαμηλή Κατανάλωση Ισχύος: Τεχνικές μείωσης και εκτίμησης της κατανάλωσης ισχύος για κάθε επίπεδο σχεδιασμού. Υλοποίηση κυκλωμάτων VLSI για αριθμητικές πράξεις. Υλοποίηση ψηφιακών φίλτρων. Κυκλώματα που βασίζονται σε ειδικά αριθμητικά συστήματα για εφαρμογές υψηλών ταχυτήτων. Αρχιτεκτονικές Μνημών. Γλώσσες περιγραφής κυκλωμάτων για αυτόματη σχεδίαση. Επαναδιαμορφούμενες πλατφόρμες FPGA: Αρχιτεκτονικές, Αλγόριθμοι απεικόνισης και Εργαλεία και Περιβάλλοντα Σχεδίασης. Συν-σχεδίαση και υλοποίηση ψηφιακών συστημάτων. Γλώσσες περιγραφής Υλικού.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          | Σ. Ξύδης, Κ. Πεκμεστζή, Δ. Σούντρης, Σ. Κοκόσης (Ε.ΔΙ.Π.)                                             | Όγδοο   | Εαρινή    | 4    | 0  | 4    | -                                                                  | Ελεύθερης επιλογής, Επιλογής κατεύθυνσης                                                     | Ελεύθερα, Επιλογή                                          | Υ, ΥΜ          | -      |           |
| ΤΕΧΝΟΛΟΓΙΑ ΚΑΙ ΑΝΑΛΥΣΗ ΕΙΚΟΝΩΝ ΚΑΙ ΒΙΝΤΕΟ                                      | 3330    | Το μάθημα περιλαμβάνει θεωρητική ανάλυση και εκπόνηση εργαστηριακών ασκήσεων στο πεδίο της επεξεργασίας, ανάλυσης, διαχείρισης, μετάδοσης, πρόσβασης και ανάκλησης τόσο ψηφιακών εικόνων όσο και ψηφιακού βίντεο που αποτελεί την πλέον πολύπλοκη δομή στα σύγχρονα συστήματα πολυμέσων. Η θεωρητική ανάλυση περιγράφει την ανάλυση των χαρακτηριστικών των εικόνων και του βίντεο, τη διαδικασία ψηφιοποίησης (δειγματοληψία, κβαντισμός), τους μετασχηματισμούς των εικόνων, τις τεχνικές κωδικοποίησης και μετάδοσης των ακίνητων και κινούμενων εικόνων, την ανάλυση των εικόνων και του βίντεο, με εφαρμογή μη γραμμικών φίλτρων, κύρια για εξαγωγή χαρακτηριστικών και κατηγοριοποίηση αυτών. Στο τεχνολογικό και εργαστηριακό μέρος, αναλύονται τα συστήματα κωδικοποίησης, συμπίεσης, ανάλυσης και διαχείρισης εικόνων και βίντεο, με έμφαση στα πρότυπα JPEG, JPEG2000, MPEG1, MPEG2, MPEG4, MPEG7, MPEG21, και σε σύγχρονες εφαρμογές διαχείρισης και πρόσβασης μέσω του Web σε συστήματα πολυμέσων με δομή XML.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    | Α. Βουλόδημος, Π. Τζούβελη (Ε.ΔΙ.Π.)                                                                  | Όγδοο   | Εαρινή    | 4    | 0  | 4    | -                                                                  | Ελεύθερης επιλογής, Επιλογής κατεύθυνσης                                                     | Ελεύθερα, Επιλογή                                          | Υ, ΥΜ          | -      |           |
| ΟΡΑΣΗ ΥΠΟΛΟΓΙΣΤΩΝ                                                              | 3333    | Εισαγωγή στην θεωρία των προβλημάτων της υπολογιστικής όρασης, σύνοψη ενδείξεων από βιολογική όραση, ανάπτυξη μαθηματικών μοντέλων και υπολογιστικών αλγορίθμων για την επίλυσή τους, και περιγραφή επιλεγμένων εφαρμογών τους. Οπτικοί αισθητήρες, προοπτική, και σχηματισμός εικόνων. Φωτομετρία. Χρώμα. Χωρο-χρονική ανάλυση εικόνων: Πολυδιάστατα γραμμικά φίλτρα και Fourier/Gabor ανάλυση. Μορφολογικοί τελεστές και μη-γραμμικά φίλτρα. Ανάλυση εικόνων σε πολλαπλές κλίμακες και πυραμίδες με γραμμικές (Gaussian scale-space) και μη-γραμμικές μεθόδους (γεωμετρική διάχυση). Ανίχνευση ακμών και άλλων γεωμετρικών χαρακτηριστικών, και εξαγωγή περιγραφητών. Ανάλυση και μοντελοποίηση Σχήματος και Υφής. Εκτίμηση οπτικής Κίνησης. Γεωμετρία πολλαπλών όψεων και Στερέοψη. Δυναμική εξέλιξη καμπυλών και επιφανειών, ενεργά περιγράμματα και επιπεδοσύνολα. Κατάτμηση εικόνων: γεωμετρικές, στατιστικές και γραφο-θεωρητικές μέθοδοι. 3Δ Ανακατασκευή. Αναγνώριση οπτικών αντικειμένων και δράσεων συνδυάζοντας μεθόδους όρασης υπολογιστών και μηχανικής μάθησης. Επιλεγμένες εφαρμογές σε βιοϊατρική, ρομποτική, ψηφιακές τέχνες, και διαδίκτυο.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                | Π. Μαραγκός                                                                                           | Όγδοο   | Εαρινή    | 6    | 0  | 4    | -                                                                  | Ελεύθερης επιλογής, Επιλογής κατεύθυνσης, Υποχρεωτικό κατ’ επιλογήν                          | Ελεύθερα, Επιλογή, Υποχρ. Ομάδας                           | Σ, ΣΜ          | -      |           |
| ΤΕΧΝΟΛΟΓΙΑ ΑΙΣΘΗΤΗΡΩΝ ΚΑΙ ΜΙΚΡΟΣΥΣΤΗΜΑΤΩΝ                                      | 3345    | Το μάθημα έχει σαν σκοπό την ενημέρωση του Ηλεκτρονικού Μηχανικού για τις τελευταίες εξελίξεις στην κατασκευή και χρήση των αισθητήρων σε μορφή μικροσυστημάτων στη βιομηχανία. Η από πίνακος διδασκαλία είναι εισαγωγική και περιλαμβάνει την ακόλουθη γνώση: Κατηγοριοποίηση αισθητήρων και ανάλυση των παραμέτρων τους. Τεχνικές κατασκευής: μικρομηχανική όγκου και επιφάνειας. Πακετάρισμα των αισθητήρων. Παραδείγματα αισθητήρων: μαγνητικοί, θερμικοί, φωτοευαίσθητοι και CCD. Περιγραφή των βασικών τεχνικών που χρησιμοποιούνται στην επεξεργασία σήματος των αισθητήρων και μικροσυστημάτων. Ανάλυση σύγχρονων μικροσυστημάτων που χρησιμοποιούνται στην αυτοκινητοβιομηχανία. Το μάθημα περιλαμβάνει δίωρες παραδόσεις και 2 ώρες ανά εβδομάδα εργαστηριακή εξάσκηση στο Εργαστήριο Ηλεκτρονικών Αισθητηρίων της Σχολής. Ο συνολικός βαθμός στο μάθημα προκύπτει από τις γραπτές εξετάσεις.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       | Ε. Χριστοφόρου, Δ. Καραουλάνης (Ε.ΔΙ.Π.)                                                              | Όγδοο   | Εαρινή    | 4    | 0  | 4    | -                                                                  | Ελεύθερης επιλογής, Επιλογής κατεύθυνσης                                                     | Ελεύθερα, Επιλογή                                          | Η, ΗΜ          | -      |           |
